Element_Symbol,Z,A,N,N-Z,BE_A,BE_A_err,MassExcess,MassExcessErr,AtomicMass,AtomicMassErr,BetaDecayE,BetaDecayE_err
K,19,20,39,1,8557.025,0.0,-33807.1901,0.00458,38963706.48661,0.00492,-6524.488,0.596
Ca,20,19,39,-1,8369.67,0.015,-27282.702,0.596,38970710.813,0.64,-13109.993,24.007
Sc,21,18,39,-3,8013.456,0.615,-14172.709,24.0,38984784.97,25.765,-16373.0,202.0
Ti,22,17,39,-5,7574.0,5.0,2200.0,200.0,39002362.0,215.0,,
Mg,12,28,40,16,6628.0,13.0,48350.0,500.0,40051906.0,537.0,20760.0,640.0
Al,13,27,40,14,7127.0,10.0,27590.0,400.0,40029619.0,429.0,22160.0,528.0
Si,14,26,40,12,7661.754,8.628,5429.679,345.119,40005829.0,370.5,13544.049,377.749
P,15,25,40,10,7980.796,3.84,-8114.37,153.582,39991288.865,164.876,14723.476,153.633
S,16,24,40,8,8329.325,0.1,-22837.846,3.982,39975482.562,4.274,4719.967,32.312
Cl,17,23,40,6,8427.765,0.802,-27557.813,32.066,39970415.469,34.423,7482.082,32.066
Ar,18,22,40,4,8595.259,0.0,-35039.89464,0.00224,39962383.12378,0.0024,-1504.403,0.056
K,19,21,40,2,8538.09,0.001,-33535.492,0.056,39963998.166,0.06,1310.893,0.06
Ca,20,20,40,0,8551.303,0.001,-34846.384,0.021,39962590.865,0.022,-14323.05,2.828
Sc,21,19,40,-2,8173.669,0.071,-20523.335,2.828,39977967.292,3.036,-11672.95,160.025
Ti,22,18,40,-4,7862.286,4.0,-8850.384,160.0,39990498.721,171.767,-21020.0,340.0
V,23,17,40,-6,7317.0,7.0,12170.0,300.0,40013065.0,322.0,,
Al,13,28,41,15,7008.0,12.0,33420.0,500.0,41035878.0,537.0,21300.0,747.0
Si,14,27,41,13,7508.573,13.529,12119.668,554.705,41013011.0,595.5,17099.435,567.571
P,15,26,41,11,7906.551,2.931,-4979.767,120.163,40994654.0,129.0,14028.81,120.233
S,16,25,41,9,8229.635,0.1,-19008.577,4.099,40979593.451,4.4,8298.611,68.846
Cl,17,24,41,7,8412.959,1.676,-27307.189,68.723,40970684.525,73.777,5760.317,68.724
Ar,18,23,41,5,8534.372,0.008,-33067.505,0.347,40964500.571,0.372,2492.038,0.347
K,19,22,41,3,8576.072,0.0,-35559.54331,0.0038,40961825.25796,0.00408,-421.653,0.138
Ca,20,21,41,1,8546.706,0.003,-35137.89,0.138,40962277.921,0.147,-6495.478,0.158
Sc,21,20,41,-1,8369.198,0.002,-28642.412,0.083,40969251.104,0.088,-12944.875,27.945
Ti,22,19,41,-3,8034.388,0.682,-15697.537,27.945,40983148.0,30.0,-16018.0,202.0
V,23,18,41,-5,7625.0,5.0,320.0,200.0,41000344.0,215.0,,
Al,13,29,42,16,6874.0,14.0,40100.0,600.0,42043049.0,644.0,23630.0,781.0
Si,14,28,42,14,7418.0,12.0,16470.0,500.0,42017681.0,537.0,15460.0,591.0
P,15,27,42,12,7767.866,7.485,1009.74,314.379,42001084.0,337.5,18647.485,314.392
S,16,26,42,10,8193.227,0.067,-17637.746,2.794,41981065.1,3.0,7194.021,59.681
Cl,17,25,42,8,8345.886,1.419,-24831.767,59.616,41973342.0,64.0,9590.908,59.895
Ar,18,24,42,6,8555.613,0.138,-34422.675,5.775,41963045.736,6.2,599.351,5.776
K,19,23,42,4,8551.256,0.003,-35022.026,0.106,41962402.306,0.113,3525.219,0.183
Ca,20,22,42,2,8616.563,0.004,-38547.245,0.149,41958617.828,0.159,-6426.092,0.097
Sc,21,21,42,0,8444.933,0.004,-32121.153,0.169,41965516.522,0.181,-7016.479,0.224
Ti,22,20,42,-2,8259.247,0.007,-25104.674,0.277,41973049.022,0.297,-17485.0,196.0
V,23,19,42,-4,7824.0,5.0,-7620.0,196.0,41991820.0,210.0,-14350.0,445.0
Cr,24,18,42,-6,7464.0,10.0,6730.0,400.0,42007225.0,429.0,,
Al,13,30,43,17,6741.0,19.0,47020.0,800.0,43050478.0,859.0,23919.0,998.0
Si,14,29,43,15,7279.0,14.0,23101.0,596.0,43024800.0,640.0,18421.0,814.0
P,15,28,43,13,7689.572,12.9,4679.826,554.705,43005024.0,595.5,16875.285,554.727
S,16,27,43,11,8063.827,0.116,-12195.459,4.97,42986907.635,5.335,11964.049,62.058
Cl,17,26,43,9,8323.866,1.439,-24159.508,61.858,42974063.7,66.407,7850.3,62.086
Ar,18,25,43,7,8488.237,0.123,-32009.808,5.31,42965636.055,5.7,4565.581,5.325
K,19,24,43,5,8576.22,0.01,-36575.389,0.41,42960734.703,0.44,1833.434,0.469
Ca,20,23,43,3,8600.663,0.005,-38408.822,0.228,42958766.43,0.244,-2220.72,1.865
Sc,21,22,43,1,8530.825,0.043,-36188.102,1.863,42961150.472,1.999,-6867.02,7.481
Ti,22,21,43,-1,8352.932,0.168,-29321.082,7.245,42968522.521,7.777,-11404.726,43.457
V,23,20,43,-3,8069.512,0.996,-17916.356,42.849,42980766.0,46.0,-15946.0,402.0
Cr,24,19,43,-5,7680.0,9.0,-1970.0,400.0,42997885.0,429.0,,
Si,14,30,44,16,7174.0,14.0,28513.0,596.0,44030610.0,640.0,18063.0,778.0
P,15,29,44,14,7567.0,11.0,10450.0,500.0,44011219.0,537.0,19655.0,500.0
S,16,28,44,12,7996.015,0.119,-9204.233,5.216,43990118.848,5.6,11180.29,136.421
Cl,17,27,44,10,8232.332,3.098,-20384.523,136.321,43978116.312,146.346,12288.731,136.33
Ar,18,26,44,8,8493.84,0.036,-32673.255,1.584,43964923.816,1.7,3108.237,1.638
K,19,25,44,6,8546.701,0.01,-35781.492,0.419,43961586.986,0.45,5687.183,0.53
Ca,20,24,44,4,8658.175,0.007,-41468.675,0.325,43955481.543,0.348,-3652.69,1.757
Sc,21,23,44,2,8557.379,0.04,-37815.985,1.756,43959402.867,1.884,-267.416,1.89
Ti,22,22,44,0,8533.52,0.016,-37548.569,0.7,43959689.951,0.751,-13432.189,181.643
V,23,21,44,-2,8210.463,4.128,-24116.38,181.641,43974110.0,195.0,-10756.0,351.0
Cr,24,20,44,-4,7948.0,7.0,-13360.0,300.0,43985657.0,322.0,-20390.0,583.0
Mn,25,19,44,-6,7467.0,11.0,7030.0,500.0,44007547.0,537.0,,
Si,14,31,45,17,6995.0,16.0,37490.0,700.0,45040247.0,751.0,21890.0,860.0
P,15,30,45,15,7464.0,11.0,15600.0,500.0,45016747.0,537.0,19589.0,1150.0
S,16,29,45,13,7881.807,23.008,-3989.589,1035.356,44995717.0,1111.5,14272.954,1044.271
Cl,17,28,45,11,8181.598,3.026,-18262.543,136.163,44980394.353,146.177,11508.254,136.164
Ar,18,27,45,9,8419.952,0.011,-29770.796,0.512,44968039.733,0.55,6844.841,0.731
K,19,26,45,7,8554.674,0.012,-36615.638,0.522,44960691.493,0.56,4196.536,0.637
Ca,20,25,45,5,8630.545,0.008,-40812.174,0.366,44956186.326,0.392,259.722,0.747
Sc,21,24,45,3,8618.931,0.015,-41071.896,0.675,44955907.503,0.724,-2062.056,0.509
Ti,22,23,45,1,8555.722,0.019,-39009.84,0.845,44958121.211,0.907,-7123.824,0.214
V,23,22,45,-1,8380.029,0.019,-31886.016,0.872,44965768.951,0.935,-12371.217,35.408
Cr,24,21,45,-3,8087.728,0.787,-19514.799,35.397,44979050.0,38.0,-14265.0,401.0
Mn,25,20,45,-5,7753.0,9.0,-5250.0,400.0,44994364.0,429.0,-19012.0,565.0
Fe,26,19,45,-7,7313.0,9.0,13762.0,400.0,45014774.0,429.0,,
P,15,31,46,16,7317.0,15.0,22970.0,700.0,46024659.0,751.0,22630.0,860.0
S,16,30,46,14,7792.0,11.0,340.0,500.0,46000365.0,537.0,14199.0,542.0
Cl,17,29,46,12,8083.48,4.536,-13859.398,208.661,45985121.323,224.006,15913.528,208.664
Ar,18,28,46,10,8412.419,0.024,-29772.926,1.118,45968037.446,1.2,5640.997,1.333
K,19,27,46,8,8518.042,0.016,-35413.924,0.727,45961981.586,0.78,7725.438,2.35
Ca,20,26,46,6,8668.979,0.049,-43139.361,2.235,45953687.988,2.399,-1378.143,2.333
Sc,21,25,46,4,8622.012,0.015,-41761.219,0.683,45955167.485,0.732,2366.581,0.667
Ti,22,24,46,2,8656.451,0.004,-44127.799,0.165,45952626.856,0.176,-7052.449,0.093
V,23,23,46,0,8486.13,0.004,-37075.351,0.202,45960197.971,0.216,-7603.784,11.455
Cr,24,22,46,-2,8303.823,0.249,-29471.567,11.453,45968360.97,12.295,-16902.0,400.0
Mn,25,21,46,-4,7919.0,9.0,-12570.0,400.0,45986506.0,429.0,-13480.0,640.0
Fe,26,20,46,-6,7609.0,11.0,910.0,500.0,46000977.0,537.0,,
P,15,32,47,17,7190.0,17.0,29710.0,800.0,47031895.0,859.0,22340.0,944.0
S,16,31,47,15,7648.0,11.0,7370.0,500.0,47007912.0,537.0,17150.0,640.0
Cl,17,30,47,13,7996.0,9.0,-9780.0,400.0,46989501.0,429.0,15587.0,400.0
Ar,18,29,47,11,8311.404,0.024,-25366.338,1.118,46972768.114,1.2,10345.638,1.789
K,19,28,47,9,8514.879,0.03,-35711.976,1.397,46961661.614,1.5,6632.442,2.625
Ca,20,27,47,7,8639.349,0.047,-42344.418,2.222,46954541.394,2.385,1992.177,1.185
Sc,21,26,47,5,8665.09,0.041,-44336.595,1.933,46952402.704,2.074,600.769,1.929
Ti,22,25,47,3,8661.227,0.002,-44937.364,0.115,46951757.752,0.123,-2930.746,0.138
V,23,24,47,1,8582.225,0.004,-42006.618,0.169,46954904.038,0.181,-7444.04,6.032
Cr,24,23,47,-1,8407.195,0.128,-34562.578,6.03,46962895.544,6.473,-11996.204,32.24
Mn,25,22,47,-3,8135.311,0.674,-22566.374,31.671,46975774.0,34.0,-15697.0,501.0
Fe,26,21,47,-5,7785.0,11.0,-6870.0,500.0,46992625.0,537.0,-17240.0,781.0
Co,27,20,47,-7,7401.0,13.0,10370.0,600.0,47011133.0,644.0,,
S,16,32,48,16,7545.0,12.0,12761.0,596.0,48013700.0,640.0,17042.0,778.0
Cl,17,31,48,14,7883.0,10.0,-4280.0,500.0,47995405.0,537.0,18001.0,587.0
Ar,18,30,48,12,8242.132,6.404,-22281.337,307.393,47976080.0,330.0,10003.14,307.394
K,19,29,48,10,8434.232,0.016,-32284.477,0.773,47965341.186,0.83,11940.153,0.779
Ca,20,28,48,8,8666.686,0.002,-44224.629,0.096,47952522.904,0.103,279.213,4.95
Sc,21,27,48,6,8656.204,0.103,-44503.842,4.951,47952223.157,5.314,3988.866,4.95
Ti,22,26,48,4,8723.006,0.002,-48492.709,0.109,47947940.932,0.117,-4015.015,0.969
V,23,25,48,2,8623.061,0.02,-44477.694,0.975,47952251.229,1.046,-1655.673,7.388
Cr,24,24,48,0,8572.269,0.153,-42822.02,7.324,47954028.667,7.862,-13525.682,10.087
Mn,25,23,48,-2,8274.185,0.145,-29296.338,6.939,47968549.085,7.449,-11296.0,400.0
Fe,26,22,48,-4,8023.0,8.0,-18000.0,400.0,47980676.0,429.0,-19500.0,640.0
Co,27,21,48,-6,7600.0,10.0,1500.0,500.0,48001610.0,537.0,-15293.0,708.0
Ni,28,20,48,-8,7265.0,10.0,16793.0,502.0,48018028.0,538.0,,
S,16,33,49,17,7385.0,14.0,21093.0,667.0,49022644.0,716.0,20153.0,897.0
Cl,17,32,49,15,7781.0,12.0,940.0,600.0,49001009.0,644.0,18130.0,721.0
Ar,18,31,49,13,8135.0,8.0,-17190.0,400.0,48981546.0,429.0,12422.0,400.0
K,19,30,49,11,8372.274,0.016,-29611.49,0.801,48968210.755,0.86,11688.275,0.826
Ca,20,29,49,9,8594.844,0.004,-41299.765,0.201,48955662.875,0.216,5261.5,2.702
Sc,21,28,49,7,8686.256,0.055,-46561.265,2.698,48950014.423,2.896,2002.522,2.697
Ti,22,27,49,5,8711.157,0.002,-48563.787,0.114,48947864.627,0.122,-601.856,0.82
V,23,26,49,3,8682.908,0.017,-47961.931,0.828,48948510.746,0.889,-2628.871,2.391
Cr,24,25,49,1,8613.291,0.046,-45333.06,2.243,48951332.955,2.407,-7712.426,0.233
Mn,25,24,49,-1,8439.929,0.046,-37620.634,2.255,48959612.585,2.42,-12869.907,24.324
Fe,26,23,49,-3,8161.311,0.494,-24750.727,24.219,48973429.0,26.0,-14870.0,501.0
Co,27,22,49,-5,7842.0,10.0,-9880.0,500.0,48989393.0,537.0,-18080.0,781.0
Ni,28,21,49,-7,7457.0,12.0,8200.0,600.0,49008803.0,644.0,,
Cl,17,33,50,16,7651.0,12.0,7740.0,600.0,50008309.0,644.0,21069.0,781.0
Ar,18,32,50,14,8056.0,10.0,-13330.0,500.0,49985690.0,537.0,12398.0,500.0
K,19,31,50,12,8288.582,0.155,-25727.848,7.731,49972380.017,8.3,13861.376,7.892
Ca,20,30,50,10,8550.163,0.032,-39589.224,1.584,49957499.217,1.7,4958.158,15.084
Sc,21,29,50,8,8633.679,0.3,-44547.382,15.0,49952176.415,16.103,6884.278,15.0
Ti,22,28,50,6,8755.718,0.002,-51431.66,0.121,49944785.839,0.129,-2207.647,0.426
V,23,27,50,4,8695.918,0.008,-49224.013,0.409,49947155.845,0.438,1038.059,0.299
Cr,24,26,50,2,8701.032,0.009,-50262.072,0.437,49946041.443,0.468,-7634.477,0.067
Mn,25,25,50,0,8532.696,0.009,-42627.595,0.442,49954237.391,0.474,-8151.139,8.395
Fe,26,24,50,-2,8354.026,0.168,-34476.456,8.383,49962988.0,9.0,-16846.0,400.0
Co,27,23,50,-4,8001.0,8.0,-17630.0,400.0,49981073.0,429.0,-13510.0,640.0
Ni,28,22,50,-6,7716.0,10.0,-4120.0,500.0,49995577.0,537.0,,
Cl,17,34,51,17,7530.0,14.0,14290.0,700.0,51015341.0,751.0,20980.0,922.0
Ar,18,33,51,15,7926.0,12.0,-6690.0,600.0,50992818.0,644.0,15826.0,600.0
K,19,32,51,13,8221.349,0.256,-22516.196,13.047,50975827.867,14.006,13816.107,13.057
Ca,20,31,51,11,8476.913,0.01,-36332.304,0.522,50960995.665,0.56,6896.381,20.007
Sc,21,30,51,9,8596.796,0.392,-43228.684,20.0,50953592.095,21.471,6504.153,20.006
Ti,22,29,51,7,8708.988,0.01,-49732.837,0.505,50946609.6,0.541,2471.005,0.644
V,23,28,51,5,8742.099,0.008,-52203.842,0.401,50943956.867,0.43,-752.447,0.213
Cr,24,27,51,3,8712.005,0.008,-51451.395,0.4,50944764.652,0.429,-3207.518,0.346
Mn,25,26,51,1,8633.772,0.01,-48243.877,0.502,50948208.065,0.539,-8041.321,8.977
Fe,26,25,51,-1,8460.759,0.176,-40202.555,8.964,50956840.779,9.623,-12860.412,49.26
Co,27,24,51,-3,8193.254,0.95,-27342.143,48.438,50970647.0,52.0,-15442.0,503.0
Ni,28,23,51,-5,7875.0,10.0,-11900.0,500.0,50987225.0,537.0,,
Ar,18,34,52,16,7825.0,12.0,-1280.0,600.0,51998626.0,644.0,15858.0,601.0
K,19,33,52,14,8115.029,0.645,-17137.627,33.534,51981602.0,36.0,17128.639,33.54
Ca,20,32,52,12,8429.381,0.013,-34266.266,0.671,51963213.648,0.72,6177.013,81.855
Sc,21,31,52,10,8533.125,1.574,-40443.279,81.852,51956582.351,87.871,9026.541,82.157
Ti,22,30,52,8,8691.667,0.136,-49469.82,7.072,51946891.96,7.592,1973.948,7.085
V,23,29,52,6,8714.582,0.008,-51443.769,0.42,51944772.839,0.45,3975.473,0.531
Cr,24,28,52,4,8775.989,0.007,-55419.242,0.34,51940504.992,0.364,-4711.958,1.851
Mn,25,27,52,2,8670.329,0.035,-50707.284,1.845,51945563.488,1.98,-2376.92,5.017
Fe,26,26,52,0,8609.574,0.098,-48330.363,5.117,51948115.217,5.493,-13969.413,9.822
Co,27,25,52,-2,8325.886,0.161,-34360.951,8.383,51963112.0,9.0,-12031.0,400.0
Ni,28,24,52,-4,8079.0,8.0,-22330.0,400.0,51976028.0,429.0,-20049.0,721.0
Cu,29,23,52,-6,7679.0,12.0,-2280.0,600.0,51997552.0,644.0,,
Ar,18,35,53,17,7677.0,13.0,6791.0,699.0,53007290.0,750.0,19086.0,708.0
K,19,34,53,15,8022.848,2.109,-12295.721,111.779,52986800.0,120.0,17091.983,120.047
Ca,20,33,53,13,8330.577,0.826,-29387.704,43.78,52968451.0,47.0,9519.104,103.774
Sc,21,32,53,11,8495.421,1.775,-38906.808,94.087,52958231.821,101.006,7924.253,137.339
Ti,22,31,53,9,8630.174,1.888,-46831.061,100.049,52949724.785,107.406,5020.0,100.0
V,23,30,53,7,8710.13,0.059,-51851.061,3.12,52944335.593,3.349,3435.938,3.102
Cr,24,29,53,5,8760.198,0.007,-55286.999,0.348,52940646.961,0.373,-596.884,0.356
Mn,25,28,53,3,8734.175,0.009,-54690.116,0.45,52941287.742,0.483,-3742.586,1.686
Fe,26,27,53,1,8648.799,0.031,-50947.53,1.656,52945305.574,1.777,-8288.101,0.443
Co,27,26,53,-1,8477.658,0.032,-42659.428,1.713,52954203.217,1.839,-13028.604,25.209
Ni,28,25,53,-3,8217.074,0.475,-29630.824,25.15,52968190.0,27.0,-16361.0,501.0
Cu,29,24,53,-5,7894.0,9.0,-13270.0,500.0,52985754.0,537.0,,
K,19,35,54,16,7889.0,11.0,-5002.0,596.0,53994630.0,640.0,20158.0,598.0
Ca,20,34,54,14,8247.496,0.897,-25160.585,48.438,53972989.0,52.0,8730.315,277.066
Sc,21,33,54,12,8394.681,5.052,-33890.9,272.8,53963616.62,292.862,11731.081,284.99
Ti,22,32,54,10,8597.435,1.527,-45621.981,82.461,53951022.786,88.526,4271.192,83.815
V,23,31,54,8,8662.043,0.278,-49893.173,15.004,53946437.472,16.107,7041.592,15.0
Cr,24,30,54,6,8777.955,0.007,-56934.765,0.353,53938878.012,0.378,-1377.136,1.008
Mn,25,29,54,4,8737.965,0.02,-55557.629,1.059,53940356.429,1.136,696.872,1.076
Fe,26,28,54,2,8736.382,0.007,-56254.5,0.372,53939608.306,0.399,-8244.547,0.089
Co,27,27,54,0,8569.217,0.007,-48009.953,0.383,53948459.192,0.411,-8731.646,4.673
Ni,28,26,54,-2,8393.032,0.086,-39278.308,4.657,53957833.0,5.0,-17868.0,400.0
Cu,29,25,54,-4,8048.0,7.0,-21410.0,400.0,53977015.0,429.0,-15139.0,565.0
Zn,30,24,54,-6,7753.0,7.0,-6272.0,400.0,53993267.0,430.0,,
K,19,36,55,17,7788.0,13.0,708.0,699.0,55000760.0,750.0,19058.0,760.0
Ca,20,35,55,15,8120.0,5.0,-18350.0,300.0,54980300.0,322.0,11809.0,544.0
Sc,21,34,55,13,8320.955,8.261,-30159.352,454.342,54967622.601,487.756,11508.735,482.226
Ti,22,33,55,11,8515.98,2.938,-41668.088,161.602,54955267.465,173.486,7476.498,157.206
V,23,32,55,9,8637.692,1.729,-49144.586,95.104,54947241.114,102.098,5965.125,95.103
Cr,24,31,55,7,8731.924,0.007,-55109.71,0.399,54940837.289,0.428,2602.703,0.368
Mn,25,30,55,5,8765.022,0.006,-57712.413,0.303,54938043.172,0.325,-231.114,0.179
Fe,26,29,55,3,8746.595,0.006,-57481.3,0.342,54938291.283,0.367,-3451.417,0.324
Co,27,28,55,1,8669.618,0.008,-54029.883,0.428,54941996.531,0.459,-8694.034,0.578
Ni,28,27,55,-1,8497.32,0.013,-45335.849,0.719,54951329.961,0.771,-13700.449,155.561
Cu,29,26,55,-3,8233.996,2.828,-31635.399,155.559,54966038.0,167.0,-17065.0,429.0
Zn,30,25,55,-5,7909.0,7.0,-14570.0,400.0,54984358.0,429.0,,
K,19,37,56,18,7664.0,14.0,7927.0,801.0,56008510.0,860.0,21825.0,895.0
Ca,20,36,56,16,8040.0,7.0,-13898.0,400.0,55985080.0,429.0,10954.0,710.0
Sc,21,35,56,14,8221.728,10.479,-24852.26,586.841,55973320.0,630.0,14467.788,599.236
Ti,22,34,56,12,8466.11,2.165,-39320.048,121.247,55957788.19,130.164,6834.833,194.55
V,23,33,56,10,8574.191,3.159,-46154.881,176.898,55950450.694,189.907,9130.12,176.899
Cr,24,32,56,8,8723.258,0.011,-55285.001,0.603,55940649.107,0.647,1626.538,0.561
Mn,25,31,56,6,8738.333,0.006,-56911.538,0.331,55938902.947,0.355,3695.544,0.207
Fe,26,30,56,4,8790.354,0.005,-60607.082,0.302,55934935.617,0.324,-4566.68,0.411
Co,27,29,56,2,8694.836,0.009,-56040.402,0.493,55939838.15,0.529,-2132.863,0.374
Ni,28,28,56,0,8642.779,0.008,-53907.539,0.422,55942127.872,0.452,-15264.511,14.91
Cu,29,27,56,-2,8356.227,0.266,-38643.029,14.904,55958515.0,16.0,-13253.0,400.0
Zn,30,26,56,-4,8106.0,7.0,-25390.0,400.0,55972743.0,429.0,-22000.0,640.0
Ga,31,25,56,-6,7699.0,9.0,-3390.0,500.0,55996361.0,537.0,,
Ca,20,37,57,17,7917.0,7.0,-6874.0,400.0,56992620.0,429.0,14121.0,1364.0
Sc,21,36,57,15,8151.433,22.879,-20995.875,1304.092,56977460.0,1400.0,12919.758,1329.062
Ti,22,35,57,13,8364.37,4.499,-33915.633,256.417,56963590.068,275.274,10497.818,268.75
V,23,34,57,11,8534.817,1.412,-44413.45,80.479,56952320.197,86.397,8111.252,80.486
Cr,24,33,57,9,8663.394,0.019,-52524.702,1.068,56943612.409,1.146,4961.548,1.846
Mn,25,32,57,7,8736.713,0.026,-57486.251,1.505,56938285.968,1.615,2695.589,1.526
Fe,26,31,57,5,8770.279,0.005,-60181.839,0.304,56935392.134,0.326,-836.276,0.451
Co,27,30,57,3,8741.882,0.009,-59345.564,0.533,56936289.913,0.572,-3261.731,0.642
Ni,28,29,57,1,8670.933,0.01,-56083.833,0.582,56939791.525,0.624,-8774.947,0.439
Cu,29,28,57,-1,8503.262,0.009,-47308.886,0.519,56949211.819,0.557,-14759.0,200.0
Zn,30,27,57,-3,8231.0,4.0,-32550.0,200.0,56965056.0,215.0,-17540.0,447.0
Ga,31,26,57,-5,7909.0,7.0,-15010.0,400.0,56983886.0,429.0,,
Ca,20,38,58,18,7835.0,9.0,-1919.0,500.0,57997940.0,537.0,12957.0,640.0
Sc,21,37,58,16,8045.0,7.0,-14876.0,400.0,57984030.0,429.0,16234.0,447.0
Ti,22,36,58,14,8311.0,3.0,-31110.0,200.0,57966602.0,215.0,9292.0,219.0
V,23,35,58,12,8457.658,1.541,-40401.753,89.374,57956626.932,95.947,11590.049,89.386
Cr,24,34,58,10,8643.998,0.026,-51991.801,1.49,57944184.502,1.6,3835.759,3.085
Mn,25,33,58,8,8696.643,0.047,-55827.56,2.701,57940066.646,2.9,6327.553,2.723
Fe,26,32,58,6,8792.25,0.006,-62155.113,0.343,57933273.738,0.368,-2307.955,1.139
Co,27,31,58,4,8738.969,0.02,-59847.158,1.16,57935751.429,1.245,381.586,1.107
Ni,28,30,58,2,8732.059,0.006,-60228.744,0.373,57935341.78,0.4,-8561.019,0.443
Cu,29,29,58,0,8570.967,0.01,-51667.725,0.578,57944532.413,0.621,-9368.981,50.002
Zn,30,28,58,-2,8395.944,0.862,-42298.744,50.001,57954590.428,53.678,-18759.0,304.0
Ga,31,27,58,-4,8059.0,5.0,-23540.0,300.0,57974729.0,322.0,-16459.0,583.0
Ge,32,26,58,-6,7762.0,9.0,-7080.0,500.0,57992399.0,537.0,,
Sc,21,38,59,17,7967.0,7.0,-10302.0,400.0,58988940.0,429.0,15208.0,447.0
Ti,22,37,59,15,8212.0,3.0,-25510.0,200.0,58972614.0,215.0,12322.0,258.0
V,23,36,59,13,8407.555,2.744,-37832.015,161.874,58959385.659,173.778,10253.745,270.218
Cr,24,35,59,11,8568.087,3.667,-48085.76,216.367,58948377.81,232.279,7439.56,216.38
Mn,25,34,59,9,8680.921,0.039,-55525.32,2.329,58940391.113,2.5,5139.485,2.356
Fe,26,33,59,7,8754.771,0.006,-60664.805,0.355,58934873.649,0.38,1564.903,0.369
Co,27,32,59,5,8768.035,0.007,-62229.709,0.418,58933193.656,0.448,-1073.002,0.194
Ni,28,31,59,3,8736.588,0.006,-61156.707,0.374,58934345.571,0.402,-4798.38,0.397
Cu,29,30,59,1,8642.0,0.009,-56358.327,0.544,58939496.844,0.584,-9142.775,0.602
Zn,30,29,59,-1,8473.777,0.013,-47215.551,0.771,58949312.017,0.827,-13455.0,170.0
Ga,31,28,59,-3,8232.0,3.0,-33760.0,170.0,58963757.0,183.0,-17890.0,434.0
Ge,32,27,59,-5,7916.0,7.0,-15870.0,400.0,58982963.0,429.0,,
Sc,21,39,60,18,7865.0,8.0,-4052.0,500.0,59995650.0,537.0,18278.0,583.0
Ti,22,38,60,16,8157.0,5.0,-22330.0,300.0,59976028.0,322.0,10912.0,372.0
V,23,37,60,14,8325.45,3.669,-33241.956,220.159,59964313.29,236.35,13427.621,293.169
Cr,24,36,60,12,8536.205,3.227,-46669.576,193.593,59949898.146,207.83,6298.361,193.607
Mn,25,35,60,10,8628.138,0.039,-52967.938,2.329,59943136.576,2.5,8445.079,4.128
Fe,26,34,60,8,8755.851,0.057,-61413.017,3.409,59934070.411,3.659,237.293,3.411
Co,27,33,60,6,8746.766,0.007,-61650.309,0.424,59933815.667,0.455,2822.809,0.212
Ni,28,32,60,4,8780.774,0.006,-64473.118,0.376,59930785.256,0.403,-6127.982,1.573
Cu,29,31,60,2,8665.602,0.027,-58345.137,1.618,59937363.916,1.736,-4170.797,1.629
Zn,30,30,60,0,8583.05,0.009,-54174.34,0.564,59941841.45,0.605,-14584.0,200.0
Ga,31,29,60,-2,8327.0,3.0,-39590.0,200.0,59957498.0,215.0,-12501.0,361.0
Ge,32,28,60,-4,8106.0,5.0,-27090.0,300.0,59970918.0,322.0,-21620.0,500.0
As,33,27,60,-6,7732.0,7.0,-5470.0,400.0,59994128.0,429.0,,
Sc,21,40,61,19,7787.0,10.0,931.0,600.0,61001000.0,644.0,17281.0,721.0
Ti,22,39,61,17,8057.0,7.0,-16350.0,400.0,60982448.0,429.0,14157.0,979.0
V,23,38,61,15,8276.439,14.66,-30506.429,894.234,60967250.0,960.0,11968.8,899.958
Cr,24,37,61,13,8459.824,1.661,-42475.229,101.341,60954400.963,108.793,9266.893,101.367
Mn,25,36,61,11,8598.915,0.038,-51742.122,2.329,60944452.544,2.5,7178.372,3.497
Fe,26,35,61,9,8703.768,0.043,-58920.494,2.608,60936746.244,2.8,3977.572,2.742
Co,27,34,61,7,8756.148,0.014,-62898.066,0.846,60932476.145,0.908,1323.839,0.79
Ni,28,33,61,5,8765.025,0.006,-64221.905,0.378,60931054.945,0.405,-2237.845,0.966
Cu,29,32,61,3,8715.514,0.016,-61984.059,0.953,60933457.371,1.023,-5635.156,15.903
Zn,30,31,61,1,8610.309,0.261,-56348.903,15.899,60939506.96,17.068,-9214.245,37.679
Ga,31,30,61,-1,8446.431,0.623,-47134.659,37.994,60949398.859,40.787,-13775.0,302.0
Ge,32,29,61,-3,8208.0,5.0,-33360.0,300.0,60964187.0,322.0,-16459.0,424.0
As,33,28,61,-5,7925.0,5.0,-16900.0,300.0,60981857.0,322.0,,
Ti,22,40,62,18,7995.0,6.0,-12500.0,400.0,61986581.0,429.0,12977.0,499.0
V,23,39,62,16,8192.0,5.0,-25476.0,298.0,61972650.0,320.0,15419.0,333.0
Cr,24,38,62,14,8428.069,2.389,-40894.961,148.099,61956097.451,158.991,7628.996,148.244
Mn,25,37,62,12,8538.499,0.106,-48523.957,6.542,61947907.386,7.023,10354.091,7.114
Fe,26,36,62,10,8692.882,0.045,-58878.048,2.794,61936791.812,3.0,2546.235,18.784
Co,27,35,62,8,8721.332,0.3,-61424.282,18.575,61934058.317,19.94,5322.04,18.57
